lon,lat,ds_sd
136.42,33.934,36.931
133.73,33.745,34.789
133.73,33.651,42.775
133.8,33.6,47.898
131.5,31.543,-26.589
133.75,33.919,13.093
133.83,33.89,19.033
133.93,33.933,13.533
131.33,31.184,-38.347
133.65,33.772,30.718
133.56,33.705,37.58
136.03,33.731,40.369
135.93,33.735,35.072
135.88,33.659,35.247
135.92,33.877,28.786
135.88,33.807,30.447
135.6,33.56,31.383
135.51,33.598,28.509
133.56,33.62,44.538
133.65,33.593,47.971
133.56,33.318,57.347
132.79,33.072,64.082
135.62,33.77,25.364
133.65,33.509,52.473
133.57,33.448,55.836
133.73,33.49,54.465
133.76,33.423,56.388
136.14,34.005,36.36
137.2,34.971,-11.194
133.38,33.719,35.471
133.65,33.888,17.404
133.61,33.832,24.155
133.96,33.499,57.709
131.51,30.721,-29.96
132.53,33.184,40.94
135.13,33.662,12.749
135.73,33.752,27.593
135.65,33.619,30.248
133.85,33.42,58.037
133.87,33.479,56.903
133.8,33.524,52.586
136.05,33.972,32.507
136.03,33.888,34.544
136.24,33.892,41.088
136.23,33.975,39.956
135.59,33.706,26.888
135.5,33.696,25.417
136.89,34.31,26.608
133.71,33.37,56.695
133.6,33.377,56.989
132.63,33.202,38.702
132.64,33.27,30.577
132.77,33.144,55.885
132.68,33.143,49.51
136.24,34.11,38.132
136.3,34.047,39.349
131.47,31.235,-46.119
131.38,31.25,-38.198
131.45,31.077,-53.096
133.33,33.639,42.705
136.25,34.185,37.822
131.54,31.302,-42.741
131.53,31.393,-36.853
131.37,31.328,-32.258
136.49,34.498,32.698
136.41,34.437,36.524
136.58,34.367,29.979
131.5,31.009,-56.186
131.31,30.952,-42.268
133.23,33.639,40.359
136.71,34.134,30.614
136.59,34.238,32.79
136.62,34.155,33.235
136.74,34.315,26.736
136.65,34.302,29.975
136.79,34.193,28.662
136.81,34.266,27.447
137.38,34.684,-4.4856
134.39,34.026,-1.0151
134.33,33.974,6.4468
137.04,34.995,-5.9779
136.44,33.992,37.211
136.38,34.047,38.455
132.61,33.075,55.24
136.62,34.433,27.245
136.57,34.5,27.45
136.41,34.203,37.63
138.12,34.907,37.329
138.01,34.887,27.546
134.66,33.997,-4.8268
135.75,33.598,32.449
135.78,33.666,31.182
137.4,34.953,-15.052
134.93,33.923,-0.23139
137.45,34.739,-9.7508
136.65,34.705,21.219
136.72,34.718,16.752
133.29,33.229,62.53
133.33,33.271,61.469
133.26,33.326,60.351
134.5,34.03,-4.1074
134.39,33.902,13.55
134.83,33.965,-3.1433
134.72,33.858,4.6914
134.74,33.943,-1.0085
137.09,34.963,-6.2562
136.94,35.002,-0.20182
134.64,33.812,11.854
134.56,33.833,13.492
134.64,33.732,16.077
136.53,34.098,35.491
136.54,34.021,35.008
136.43,34.121,37.757
132.52,33.102,46.769
132.42,32.952,53.078
132.48,32.911,61.131
132.56,32.918,66.098
132.62,32.995,62.788
