latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
37.63325,139.0001,-155.85,0.000484,0.001329,2.178433,2.063869,-0.45635,0.182579,0.870865
37.63328,139.367,-139.109,0.014735,0.192483,1.746118,1.725418,-0.44631,0.154834,0.881382
37.63329,139.7,-124.608,-0.87111,0.032126,1.377098,1.366282,-0.43319,0.159683,0.887047
37.6333,140.067,-108.801,-0.25199,-0.01483,1.295359,1.293822,-0.44541,0.17626,0.877804
37.63331,140.433,-91.4765,0.013934,0.553073,1.195198,1.207346,-0.46215,0.177506,0.868857
37.63331,140.8,-73.9353,0.24741,0.848221,1.104965,1.103636,-0.44089,0.169546,0.881403
37.63331,141.133,-60.2111,-0.3339,0.643599,1.124602,1.138358,-0.38021,0.141355,0.914034
37.63331,141.5,-48.0624,-3.56766,1.139159,1.294353,1.3005,-0.32031,0.104425,0.94154
37.63331,141.867,-38.2204,2.662455,-0.86191,1.483761,1.538571,-0.26156,0.076673,0.962137
37.63331,142.2,-31.2767,13.3375,-4.6801,1.817864,1.756473,-0.20674,0.06691,0.976106
37.63331,142.567,-25.1138,21.25335,-7.6877,2.238285,2.143322,-0.17186,0.062612,0.983129
37.63331,142.933,-19.9797,21.74998,-7.9377,2.686492,2.738116,-0.14943,0.058319,0.987051
37.63331,143.3,-15.3546,15.68337,-5.76285,3.229285,3.588263,-0.1452,0.054193,0.987917
37.63331,143.633,-10.9234,5.762351,-2.1574,4.643387,5.409017,-0.16847,0.054565,0.984195
37.6333,144,-4.75878,-0.00133,0.000484,5.886186,6.849402,-0.18857,0.069639,0.979587
37.33328,139.0001,-150.391,0.000484,0.001329,2.072702,1.965807,-0.45617,0.194924,0.86828
37.3333,139.3671,-133.156,1.253737,-0.30397,1.715144,1.692675,-0.4434,0.209822,0.87142
37.33332,139.7001,-118.201,-0.4482,0.092613,1.343858,1.324396,-0.44406,0.209134,0.871248
37.33333,140.0671,-100.958,0.560028,0.150573,1.25649,1.258432,-0.44785,0.222832,0.865899
37.33333,140.4331,-84.1525,0.230248,0.810712,1.138568,1.141621,-0.44686,0.211962,0.86913
37.33334,140.8,-67.1141,-0.8842,0.721268,1.063678,1.058775,-0.41147,0.18192,0.893083
37.33334,141.133,-55.196,-0.0121,-1.18077,1.120429,1.134437,-0.34085,0.139698,0.929682
37.33334,141.5,-44.3172,-3.16546,-0.60994,1.341438,1.305844,-0.29086,0.109014,0.950534
37.33334,141.867,-35.3494,2.569869,-1.65311,1.56932,1.644795,-0.2431,0.089905,0.965826
37.33334,142.2,-28.7506,12.68602,-4.73759,1.871297,1.933963,-0.19867,0.080039,0.976792
37.33334,142.567,-22.7464,18.76462,-6.84446,2.312988,2.321752,-0.16673,0.074471,0.983186
37.33334,142.933,-17.7603,17.57211,-6.42792,2.783763,2.919548,-0.14491,0.070184,0.986953
37.33334,143.3,-13.2746,11.59221,-4.27829,3.313448,3.802162,-0.14379,0.068737,0.987218
37.33333,143.6329,-8.81842,3.417673,-1.30897,4.706154,5.669016,-0.17587,0.071728,0.981797
37.33333,143.9999,-1.9089,-0.00133,0.000484,5.947945,7.137672,-0.2013,0.065566,0.977332
37.03332,139.0002,-142.007,0.001329,-0.00048,1.949133,1.862417,-0.47328,0.217411,0.853661
37.03334,139.3671,-123.668,1.013131,-0.37693,1.657964,1.635495,-0.44203,0.246621,0.86243
37.03336,139.7001,-109.739,-0.4494,0.119557,1.278424,1.255974,-0.43712,0.254707,0.862586
37.03337,140.0671,-92.0128,2.002566,-0.16918,1.174978,1.171585,-0.44198,0.244902,0.862945
37.03338,140.4331,-75.5957,-0.50166,1.13826,1.064496,1.055967,-0.41787,0.219079,0.881698
37.03338,140.8001,-60.6137,-1.99702,1.273175,0.98645,0.982876,-0.36509,0.168309,0.915632
37.03338,141.133,-50.6239,1.254228,-0.9695,1.118548,1.123222,-0.30269,0.125145,0.944838
37.03338,141.5,-40.6352,-2.58789,-0.33091,1.393173,1.411537,-0.27162,0.098028,0.957398
37.03338,141.867,-32.1337,3.406854,-1.85796,1.648695,1.767455,-0.23243,0.092571,0.968197
